2	TOC Heading	مادران و دختران
21	Heading 1	هشت گفتگو: هزار زندگی
22	Normal	ضیافت‌الله سعیدی
23	Normal	یکم. همه چیز از «جنگ چهره‌‌ی زنانه ندارد» شروع شد. این اثر ستوده‌شده‌ی نویسنده‌ی بلاروسی، سوتلانا الکساندرونا الکسیویچ در چندین صنف برنامه ادبیات جهان خوانده می‌شود و مدام مورد تحسین قرار می‌گیرد. در دور اول مزار شریف اما کتاب غوغا به پا کرد و تأثیر شگرفی بر دختران گذاشت. در جلسه‌ی بررسی این کتاب، بغضی گلوی همه را می‌فشرد و زخم‌های زیادی از جنگ باز شده‌‌بودند. در واقع، هر اشتراک‌کننده بخش‌هایی از خودش را در بخش‌هایی از کتاب می‌دید و همین بود که گفتگوی ما را سخت جان‌دار کرده‌بود. تأثیر این اثر درخشان به حدی بود که تقریباً هر کتاب بعدی را  تحت‌الشعاع قرار داد و حکم سنجه‌‌ای را یافت که هر متنی باید با آن سنجیده می‌شد. «جنگ چهره‌‌ی زنانه ندارد» فصل ممیزه‌‌ای شده‌بود و دختران مدام دباره آثار مشابه درباره افغانستان می‌پرسیدند. ما در این میان مستند «سه ترانه برای بی‌نظیر» از الیزابیت و گلستان میرزایی «صداهایی از روستاهای افغانستان؛ قصه‌هایی از یک جامعه‌ی قبیلوی» اثر ریچارد تاپر و نانسی لیندزفرن تاپر، و «۱۳۰ نامه‌ی بی‌نام، گذری به دهه‌ی چهل افغانستان» از اریکا کنابه را معرفی کردیم، ولی این‌ها هیچ کدام «جنگ چهره‌‌ی زنانه ندارد» نمی‌شدند. این رمان عطشی را در دختران به وجود آورده بود که به سادگی مهارشدنی نبود.
25	Normal	دوم. این یک بعد قضیه بود. بعد دیگر قصه، تقلای ما برای یافتن قالب‌هایی بود که محتوای آماده دارند و نوشتن‌ را  ساده و بی‌تکلف می‌‌سازند و به همین دلیل مناسب نویسندگان تازه‌‌کار اند. گفتگو و روایت هر دو همین کارکرد را داشتند: دختران محتوا را از مخاطب می‌گرفتند و صرفاً با فرم بازی می‌کردند. وقتی همه‌ی این‌ها را کنار هم می‌گذاشتیم، همه‌چیز آماده بود: الگوی درخشان «جنگ چهره‌‌ی زنانه ندارد»، عطش مهارنشدنی دختران برای دانستن تجربیات زنان افغانستان از جنگ و بالاخره قالب ساده‌ی گفتگو.‌ هشت یادداشت/ گفتگو این‌گونه متولد شدند.
27	Normal	سوم. برای دختران یک ماه وقت داده شد تا با مادربزرگان‌شان گفتگو کنند. تأکید اولیه‌ی ما این بود که زن، جوانی، زندگی و جنگ محورهای این گفتگوها باشند و دختران پرسش‌های‌شان را از همین زاویه مطرح کنند. این تِم‌ها را ما از این جهت انتخاب کردیم تا تصویری واقعی و انضمامی از زنانه‌گی در افغانستان در ذهن دختران شکل بگیرد و زوایا و اتفاقات احیاناً پنهان خانواده‌ها از زبان زنان خانواده برای دختران خانواده بازگو شود. در همین راستا، مقدمات و مبتدیات گفتگو را با دختران شریک کردیم و بعدها پنلی را با عنوان «از چشم‌دید تا متن؛ چگونه مشاهدات خود را تبدیل به متن کنیم؟» برگزار کردیم تا دختران از تجربیات سه نویسنده‌ی حاضر در بحث - طاهر احمدی، خدیجه حیدری و عزیز نیکیار- بهره‌مند شوند. ‌همه‌ی این‌ها قرار بود دختران را آماده کند تا گفتگوهای‌‌شان را منظم و روشمند انجام دهند. اما انگار سرنمون «جنگ چهره‌‌ی زنانه ندارد» کارش را کرده‌بود: بعد از اتمام گفتگو‌ها، متوجه شدیم که گفتگوها اکثراً به بررسی جنگ میلان کرده ‌بودند و به جزء چند استثناء، دیگران همه خواسته یا ناخواسته زندگی زن در جنگ را مضمون اصلی گفتگو‌ها‌ی‌شان قرار داده بودند.
29	Normal	چهارم. جلسات مقدماتی نقد و تصحیح این گفتگو‌ها در صنف مزار شریف برگزار شد. واقع این بود که ما با نوشته‌هایی از هر جهت متفاوت مواجه بودیم. عده‌ای از دختران، گفتگوها را صرفاً پیاده کرده‌ بودند؛ عده‌ای دیگر اما گفتگو‌ها را در قالب روایت نوشته ‌بودند و با فرم بازی کرده‌ بودند. یکی از دختران لهجه‌ی محلی مادربزرگش را در گفتگو حفظ کرده‌ بود، ولی دیگران، روایت را با فارسی معیار نوشته ‌بودند. سایر موارد هم همین طور بودند: طول، سبک، زبان و حتی فرم هر نوشته متفاوت بود و به همین دلیل، امکان یک‌دست کردن این متون وجود نداشت. بنابرین گفتگوها صرفاً‌ ویراستاری حداقلی شدند و ما تنها به تصحیح املا، علامات نوشتاری و در مواردی، ساختار جملات اکتفا کردیم. دو ملاحظه‌ی کوچک دیگر را هم در نظر ‌گرفتیم. اولاً از آن‌جایی‌که عده‌ای از دوستان ایرانی هم کارهای ما را دنبال می‌کنند، کلمات و اصطلاحات محلی افغانستان را هم در صورت لزوم در پاورقی شرح دادیم. ثانیاً برای این‌که نگرانی‌های امنیتی را هم در نظر گرفته باشیم، نام مناطق ذکر شده در گفتگوها را در صورت نیاز حذف کردیم و مشخصات نویسندگان ساکن افغانستان را صرفاً با ذکر حرف اول نام به علاوه‌ی نام کامل خانوادگی‌شان آوردیم.
31	Normal	پنجم. با تمام تفاوت‌هایی که این متون با هم داشتند، محور اما یکی بود: زندگی مرارت‌بار زن در جولان جنگ و سلطه‌ی مردسالاری. از زنی ‌که شوهرش را مجاهدین کشته و برای تسلی خود می‌گوید: «بخت و نصیبم امی بوده؛ بخت و نصیبه بچیم...»؛ تا زنی‌‌‌که می‌گوید آن شب «گریه می‌کردم، از هر دو درد. از زن دوم شدن» و درد قاعده‌گی ولی زندگی را باید ادامه داد «حتی اگر به میخی که اسمش شوهر بود، ما را می‌بستند»؛ تا زنی‌که به دخترش می‌گوید: «خدا او روز ها را چپ ببره. هفت کوه سیاه در میانش. اجل نامده بود اگر نه... ما یک سال تمام در فرار بودیم»؛ تا زنی‌ که «هفت فرزندش در قبرستان زیر خروارها خاک خفته‌اند» و اگر دخترش «موی قیچی شده‌ای خواهر» و «گرفته‌گی ناخن‌های برادر را در صندق» مادرش نمی‌دید، نمی‌دانسته که بر مادرش چه رفته؛ تا زنی در گفتگویی که قرار است درباره‌ی خودش باشد، مدام درباره‌ی شوهر لادرک‌شده‌اش صحبت می‌کند و آخرالامر هم وقتی پرسیده می‌شود که «پدر بزرگ چطور مفقود شد؟» می‌گوید: «یادم نیست. دوران حفیظ الله بود یا داکتر نجیب؟ یادم نیست!»، همه شاید دلالت به گفته‌ی آن زن امریکای لاتینی داشته‌ باشد که «در جنگ، مردان کشته می‌شوند ولی زنان می‌میرند».
32	Normal	ششم. اهمیت این گفتگوها قطعاً از پرداختن به زنان در جنگ ناشی می‌شود. محور تاریخ‌نگاری جنگ در افغانستان، تحولات سیاسی است و مردم در مجموع، و زنان به تبع،  موضوعیتی چندانی در آن ندارد. ادبیات داستانی‌ هم که درباره جنگ در افغانستان نوشته شده با چند استثناء  -از جمله آثار محمد حسین محمدی و سیامک هروی- چندان به زندگی زنان در جنگ نپرداخته‌اند. در پارانتز باید گفت که مورد آصف سلطان‌زاده از این منظر در این ویژه‌نامه بررسی شده است. این امتناع از پرداختن به زنان به خودی خود، خلاء عمیقی در درک ما از جنگ در افغانستان و زندگی زنان شکل داده که تا هنوز پابرجاست. اینجاست که این گفتگوها اهمیت پیدا می‌کنند: این‌که سایه روشن‌هایی از وضعیت زنان در جنگ به دست می‌دهند و به این ترتیب، گرچه در عدد، هشت استند ولی در عمل، شمایل زندگی هزاران زنی اند که طعمه‌ی توحش جنگ شدند ولی سرگذشت‌شان نه در تاریخ مذکر افغانستان و نه در ادبیات جنگ جایی نیافتند. این گفتگوها در واقع حکم صدای نحیف ولی ماندگار  و امثال او را دارد که باری گفته‌ بود می‌خواهد صلح را تجربه کند تا ببیند که صلح اصلاً چه چیزیست، چرا که «او بیست‌ویک سال عمر داشت و همه‌ی این بیست‌ویک سال در جنگ سپری شده‌بود» که «ما تمام زندگی‌مان را در غم می‌گذرانیم» که «جنگ تمام هستی ما را نابود کرده‌ است».
36	Heading 2	«سرگردانی‌های او روزا»
37	Normal	ط. انصار
38	Normal	- «کی او ره کشت؟»
39	Normal	- «کی ره؟»
40	Normal	- «پدرکلان ره!»
41	Normal	ناگهان سنگینی سکوت و سوالم را خودم هم حس کردم. پیشتر نمی‌دانستم یک سوال چطور می‌تواند سکوتی که سال‌ها در گلو گیر کرده را بیرون کند. دست از کوک زدن برداشت و به نقطه‌ی نامعلومی خیره شد؛ انگار به خاطره‌ی دوری پرت شده باشد. صدایی از عمق جانش برخاست؛ بی‌جان و کم‌رنگ گفت: «مجاهدا!».
42	Normal	همین‌قدر کوتاه. دلش نمی‌آمد حرف بزند. یا نمی‌خواست مرا به گذشته‌ای تلخ ببرد تا سنگینی دنیایش را ببینم و اینکه چطور کمرش را خمیده بود. نگاهش را از آن نقطه‌ی نامعلوم برداشت و دوباره کوکی زد.
43	Normal	گفتم: «مجاهدا... همین طالبا؟»
44	Normal	گفت: «نی بچم. ای طالبا نو مجاهد شدن. مجاهدایی که وقت شوروی جنگ کدن. همونا. خانه‌سوختا مجاهدا او وقت دَ کوه و دشت فراری بودن. شهر د دست حکومت بود. شَو که می‌شد ای کوه می‌خَمبِیدن[FOOTNOTE] و نفر می‌بردن. یک شَو هم به جان او آمدن».
45	Normal	گویا دل به ادامه نداشت. سوالاتم را با بی‌میلی جواب می‌داد. چشمانش به چشمان پرخواهش و تسلیم‌ناپذیر من گره خورد. مثل این‌که چشمانش می‌خواست بفهمد آیا حاضرم او را بشنوم. مکثی کرد، می‌دانست تا نفهمم، دست‌بردار نیستم. دست از کوک زدن برداشت و پارچه‌ را روی زانوانش ماند. سنگینی کلامش واضح بود، خاطره‌ها را از اعماق درونش بیرون می‌کشید. چشمانش را اندکی فشرد تا بهتر به یاد بیاورد. بعد گفت: «او وخت، مه خاله‌ات ره حامله بودم. مادرت سه‌ساله و مامات چهارساله؛ هر دو خُرد بودن. اوست شَوا[FOOTNOTE] همگی خانه ما جمع می‌شدن. یک‌شب انگه[FOOTNOTE] عالم، انگه حلیمه رحمتی، گلثومِ دختر کاکام و بابه‌ات… همگی دور صندلی شیشته بودیم. اوسَتا یک طرفه خانه داشتیم و دَرای چهار طبقه‌ بود. دروازه‌ی حویلی واز شد؛ حویلی سروچ ای[FOOTNOTE] مسلح پر شد».
46	Normal	دست‌هایش را با حرکتی بالا آورد و گفت: «پشت شیشه قطار شدن. سروصدا همه‌جا پر شد...».
47	Normal	در خاطراتش آن صحنه را از پشت پنجره‌ی اتاقی که در آن نشسته بود به یاد می‌آورد و مجسم می‌کرد. مادر بزرگم دیگر این‌جا نبود، برگشته بود به آن روزهای دور. بعد با لحنی که پر از آه بود گفت: «ای کومش کن او شَوَه.[FOOTNOTE] خدا دیگه او روزها ره نیاره».
48	Normal	میان سکوت و پرسیدن مانده بودم. غم و ناراحتی را می‌شد در لرزش دست‌هایش که پشت‌هم کوک می‌زد، خواند. چه‌قدر منظم کوک می‌زد؛ اصلاً کج نمی‌رفت. هر دو سکوت کردیم. سکوت آن‌قدر سنگین بود که مانع پرسش‌های من می‌شد. دیگر به‌یاد آوردن خاطره‌های مادر کلانم نه تنها برای او، بلکه برای من‌هم آزاردهنده بود. تازه می‌فهمیدم حرف کشیدن از مادر کلانم چرا این‌همه سخت است. آدم نمی‌خواهد بعضی صحنه‌ها را به یاد بیاورد؛ چون بی‌هوا زخمی خراشیده می‌شود.
49	Normal	بعد یادم آمد. من باید بنویسم و قصه را به‌جایی ببرم. قصه، قصه‌ی فهمیدن و نوشتن بود نه قصه‌ی گریه. تا به‌جایی نرسیده بودم، باید گریه‌ها را پس می‌زدم. با تردید و مِن‌مِن پرسیدم:
50	Normal	- «بعد چه شد؟»
51	Normal	- «گرفته بردنش».
52	Normal	- «چرا فرار نکد؟»
53	Normal	با لحن تمسخرآمیزی گفت:«کجا فرار می‌کد؟ کلی‌ جا پر بودن. آمده ای دورن، جاگه‌خاو می‌بردن. فرار می‌کد، کجا فرار می‌کد؟».
54	Normal	- «چرا پدر کلانم را بردن؟»
55	Normal	- «صاحب منصب بود. چند وقت پیشش هم دریشی پنج ستاره گرفته بود. مه چه می‌فهمم؟ گفتن تو خلقی!».
56	Normal	پارچه‌ای را که می‌دوخت روی زانوهایش انداخته بود. یک کوکی زد و گفت:
57	Normal	- «مثلی که سوزن کند شده».
58	Normal	سوزن در پارچه همان‌طور ماند و چشمانش را بست تا دقیق‌تر به یاد بیاورد. با دست‌هایش شروع به حساب کرد:
59	Normal	- «دو بچه‌ی فضل احمدخان، معلم غنی، بصیر، دو دادرِ[FOOTNOTE] انگه عالم، واسوخت بابه‌ات… چند نفر شد؟»
60	Normal	حسابش را از دست داد. دوباره آهسته با انگشت‌هایش شروع به حساب کرد، گویا ذهنش یاری نمی‌کرد و گفت:
61	Normal	- «مگم امو شو سیزده نفر ره ای ...[FOOTNOTE] بردن».
62	Normal	- «چه کارشان کردن؟»
63	Normal	با صدای لرزان و نگاهی پر از اندوه، طوری که تمام پریشانی‌ها و دردهایش را در همین چند واژه خلاصه کرده باشد، گفت:
64	Normal	- «چکار می‌کدن؟ می‌کُشن! قورایی[FOOTNOTE] دسته‌جمعی ره دیدی؟»
65	Normal	- «ها».
66	Normal	«کشته د امو جا می‌نداختن. بابت و دادرای انگه عالم ره بردن... دَ خاش[FOOTNOTE]».
67	Normal	- «خاش چرا؟»
68	Normal	- «تا دَ پیش خویش قوم خودشان بکشتن».
69	Normal	- «شما ای‌کجا فهمیدین که اونا ره خاش بردن؟»
70	Normal	- «ای‌بچم نگو، سرگردانی‌های او روزا. او روزا...!»
71	Normal	بغض گلویش را در هم می‌فشرد و صدایش می‌لرزید. هنوز هم آن روز را با همان سنگینی اولش که داشت، حس می‌کرد. فکر می‌کردم چه‌قدر سنگینی فریاد زن‌ها به سکوت تبدیل شده است؟
72	Normal	- «رفتن قورایی دسته جمعی امو شو ره دیدن؛ مرده‌شان ره نیافتن. بعد احوال آمد که درخوان خاش برده‌شان. هر سه‌شان ره ایستاد می‌کنن. اول دو دادر انگه‌عالم ره شلیک می‌کنن. بعد او ره چند شلیک می‌کنن، اما زمین نمی‌خورده، استقامت دارد. بعد اونا می‌گن که البت د بَرِش کدام چیزی دارد. بعد می‌بینن که دَ جیوش[FOOTNOTE] یک هفت‌هیکل. هفت‌هیکل ره ای جیوه می‌گیرند و دوباره شلیک می‌کنن».
73	Normal	با حالت تسلیمی به دیوار تکیه کرد گفت: «بخت و نصیبم امی بوده؛ بخت و نصیبه بچیم...»
74	Normal	مگر این بخت و نصیبه چیست که مادر بزرگم تسلیم بخت و نصیبه‌اش شده‌بود؟ شاید این تنها چیزی است که در انتظارش بود. اگر این‌طور باشد، بخت و نصیبه چه‌قدر جوابگوی ماست؟
75	Normal	مادربزرگم باری دیگر مصروف دوختن شد. شاید دیگر وجود مرا در کنارش حس نمی‌کرد. با هر سوزن که می‌زد، غوطه‌ور می‌شد در خاطره‌های شوم و سیاه. شاید داشت زخم سال‌های دور را می‌دوخت تا دیگر سر باز نکنند و التهابی نشوند.
76	Normal	اما چه می‌دانم؟ شاید بارها سر این زخم را دوخته باشد، ولی باز هم التهابی شده و درد کرده است. دیگر دلم نمانده بود چیزی بپرسم. جرأت نمی‌کردم بیشتر از این روی زخم‌های این پیرزن دست بگذارم. شاید بهتر باشد بعضی زخم‌ها را به حال خودشان بگذاریم.
79	Heading 2	قاب عکسی از سال‌هال دور
80	Normal	گ. سیر
81	Normal	قاب عکسی از سال‌های دور
82	Normal	مادر به عکس نگاه کرد و خندید. من هم خندیدم. در عکسی که سی‌ سالگی‌اش را ثبت کرده،‌ جوان است. صاف و سیخ ایستاده. پدر هم در کنارش ایستاده است. هر دو با اخم به کمره‌ی عکاس خیره شده اند. هیچ نشانی از پیری و فرسودگی در تن‌شان نیست. موهای شان مثل پر کلاغ سیاه است. پدر محکم و با وقار ايستاده. قدبلند و لاغراندام، یک سر و گردن از مادر بلندی می‌کند.
83	Normal	پرسیدم: «منم یک روزی مثل تو پیر می‌شوم؟»
84	Normal	مادر گفت: «کسی که آب زندگانی ابدی نخورده. پیر می‌شوی.»
85	Normal	پدر گفت: «پیری آدمه رسوا می‌کند.»
86	Normal	تبسم‌کنان گفتم: «جانت جور باشد.»
87	Normal	پدر خندید‌. نفهمیدم چرا وقتی می‌خندد دندان‌های ساخته‌گی‌اش می‌افتد و من، گریه‌ام می‌گیرد. البته خودم می‌دانم که بخاطر دندان‌های پدر گریه نمی‌کنم؛ اما نمی‌دانم چرا. مادر گوشش را به دهانم نزدیک می‌کند و می‌پرسد: «بخاطر چه؟»
88	Normal	جوابی فی‌البداهه‌ای به زبانم جاری می‌شود: «بخاطری‌که پیری آدمه رسوا می‌کند.»
89	Normal	مادر اخم می‌کند، ابرو ها را بالا می‌کشد، چین‌های پیشانی‌اش تیره‌تر می‌شود، درست مثل حالتی که در عکسِ سی سالگی‌اش درآورده؛ مثل این‌که مجال عکس گرفتن نداشته و به دستور پدر، بی‌خیال پهلویش ایستاده. فکرش پراکنده است. گویا که از بی‌خیالی نام غذای شب، صبح از یادش می‌رود.
90	Normal	دست‌خط پدر همیشه برایم تحسین‌برانگیز بوده. خط خوب پدر، جزء هویت او شده و در ذهنم جا خوش کرده. کتابچه‌اش را دیده‌ام. از دوبیتی‌های محلی پر است. از حافظ هم نوشته است. ورق می‌زنم چند ورقی پس می‌زنم، نوشته: «خم زلف تو دام کفر و دین است/ ز کارستان او یک شمه این است...»
91	Normal	طبع‌ پدر که خوش و کیفش کوک باشد، به کمک حافظه‌اش برای ما شعر می‌گوید. گاهی تقلای خوش‌آیندی به خرج می‌دهد تا چیزی‌های بیش‌تری از گذشته به یاد آورد. در جوانی کتاب می‌خوانده و شعرهای حافظ را در کتابچه‌اش درج می‌کرده؛ اما حالا پیشانی‌اش چین افتاده و حوصله‌اش کم شده. از شور و شوق جوانی‌هایش هم خبری نیست.
92	Normal	فکرم نرم به سال‌ها قبل از وجود خودم، به جوانی‌های پدر و مادر رفت، پرسیدم: «مردم قدیم هم عاشق می‌شدند؟»
93	Normal	پدر سکوت معناداری کرد، مثل این‌که زخمی در قلبش سر باز کرده باشد. معنای سکوتش روشن‌تر از کلمات بود. چیزی مشابه حسرت روزگاران سپری شده دو دلداده. پس از آن سکوت معنادار گفت: «عشق سر آدمه به بلا می‌دهد.» مادر لبخند ملیحی روی لبش بست، بعد گفت: «یک خوشه اُشتُک[FOOTNOTE] از عاشقی چه می‌فهمه؟»
94	Normal	این‌بار با شوخ‌زبانی، گفتم: «شما چطور؟»
95	Normal	پدر که به نظر می‌رسید نمی‌خواهد چیزی بروز دهد، گفت: «ما همین‌طور.» گفتم: «مگر عاشق بودید؟»
96	Normal	عکس را ورانداز کرد، بعد گفت: «ما را عشق دربه‌در کرد.» سپس ساکت شد و هیچ نگفت.
97	Normal	حرفش به دلم خوب نیامد، سکوت کردیم. چیزی هم نداشتم که بگویم. احساس کردم پیشانی‌ام عرق کرده، با خود گفتم مبادا خیال بد کند. برای همین دنبال حرف عشق و عاشقی را رها کردم.
98	Normal	شیخ و رادیو‌یش؛ مادر و غصه‌هایش
99	Normal	پدرم اندکی مذهبی است. خواندن و نوشتن را پیش ملای مسجد آموخته. می‌تواند قرآن را سریع و روان بخواند. در کتاب خواندن هم حوصله‌اش بد نیست، اما کتاب‌هایش سراسر محتوای دینی و بندگی دارد. با این حال گاهی موسیقی می‌شنود. رادیو همیشه بیخ گوشش می‌خواند.
100	Normal	مادر گفت: «این عادت از جوانی بخیه‌ی جانش شده.» گفتم: «چرا؟ مگر ملا نیست؟» مادر گفت: «ملا نیست، اما مردم شیخ صدایش می‌کنند، برای آن‌که در روستا تنها مردی بود که خواندن و نوشتن را خوب می‌فهمید.» پدر در زمانی‌که جوان بود پای تنها رادیو‌یش می‌نشست. در زمانی‌که خبر از تلوزیون نبود و مبایل را کسی نمی‌شناخت، پدر سرش به رادیویش گرم بود. شغل آزاد داشته و دارد. بیشتر اوقات را سر زمین‌های پدر کلان دهقانی کرده. گفتم: «کاش داکتر بودی.» پدر گفت: «داکتر می‌بودم، خوب می‌بود؟» بی‌درنگ در جوابش گفتم: «خیالم راحت بود که مریض نمی‌شوی.» مادر دوباره خندید، بعد گفت: «داکترا هم مریض می‌شوند.» این‌بار تن صدایم لرزه داشت، گویا اندوهم، کلوله‌های بغض را در خود پنهان کرده بود. گفتم: «حداقل مصرف دوایت مفت بود.»
101	Normal	مادر نگاهم کرد، بعد دستمالی که به سرش بسته بود، باز کرد. با دستش تکاند، بعد دوباره بسته کرد، این بار محکم‌تر از پیش. گفت: «گولی‌هایم[FOOTNOTE] را بیار.» گفتم: «سردردی یا معده؟» مادر کلمات را بدون لحن خاصی ادا کرده گفت: «گولی سردردی که دیروز داکتر داده بود.» پدر گویا جوکی حواله مادر کرده باشد، گفت: «سرت خراب شده.»
